sp|G3JF08|CNS1_CORMM	ATY65128.1	98.990	792	0.0	1620	ATY65128.1 oxidoreductase domain-containing [Cordyceps militaris]
sp|G3JF09|CNS2_CORMM	ATY65129.1	99.710	345	0.0	702	ATY65129.1 phosphoribosyl-aminoimidazole-succinocarboxamide synthase [Cordyceps militaris]
sp|G3JF10|CNS3_CORMM	ATY65134.1	99.885	871	0.0	1793	ATY65134.1 hypothetical protein A9K55_004233 [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY65135.1	96.976	1356	0.0	2732	ATY65135.1 ABC multidrug transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY64183.1	63.862	1367	0.0	1859	ATY64183.1 ABC multidrug [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY61789.1	40.393	1322	0.0	989	ATY61789.1 ABC drug exporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY64438.1	37.344	1363	0.0	904	ATY64438.1 ABC multidrug [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY64438.1	21.510	702	3.87e-22	102	ATY64438.1 ABC multidrug [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY62782.1	36.994	1384	0.0	863	ATY62782.1 ABC transporter CDR4 [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY65700.1	25.538	975	3.13e-80	289	ATY65700.1 ABC efflux transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY65700.1	26.655	574	1.78e-45	178	ATY65700.1 ABC efflux transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY65700.1	25.868	317	3.16e-19	93.2	ATY65700.1 ABC efflux transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY59466.1	40.726	248	8.31e-41	162	ATY59466.1 ABC transporter (Adp1) [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY59466.1	31.128	257	5.14e-28	121	ATY59466.1 ABC transporter (Adp1) [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY59466.1	26.108	203	1.33e-11	67.8	ATY59466.1 ABC transporter (Adp1) [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY64290.1	35.793	271	8.18e-36	146	ATY64290.1 ABC transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY64290.1	23.529	544	5.36e-22	101	ATY64290.1 ABC transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY65089.1	30.000	190	1.07e-12	71.6	ATY65089.1 ABC transporter [Cordyceps militaris]
sp|G3JF11|CNS4_CORMM	ATY66648.1	28.986	207	1.92e-11	67.4	ATY66648.1 multidrug resistance 2 [Cordyceps militaris]
